2022-10-22 04:48:30, Epoch: [11 / 90], step: [300 / 900], loss: 0.043694973, lr: 0.00097180426
2022-10-22 04:49:03, Epoch: [11 / 90], step: [350 / 900], loss: 0.0393043, lr: 0.00097148237
2022-10-22 04:49:36, Epoch: [11 / 90], step: [400 / 900], loss: 0.05871746, lr: 0.0009711587
2022-10-22 04:50:09, Epoch: [11 / 90], step: [450 / 900], loss: 0.038138147, lr: 0.00097083324
2022-10-22 04:50:42, Epoch: [11 / 90], step: [500 / 900], loss: 0.030028105, lr: 0.00097050605
2022-10-22 04:51:15, Epoch: [11 / 90], step: [550 / 900], loss: 0.039072964, lr: 0.00097017706
2022-10-22 04:51:49, Epoch: [11 / 90], step: [600 / 900], loss: 0.04034309, lr: 0.0009698463
2022-10-22 04:52:22, Epoch: [11 / 90], step: [650 / 900], loss: 0.04126417, lr: 0.0009695138
2022-10-22 04:52:55, Epoch: [11 / 90], step: [700 / 900], loss: 0.044123102, lr: 0.0009691795
2022-10-22 04:53:28, Epoch: [11 / 90], step: [750 / 900], loss: 0.05573871, lr: 0.00096884347
2022-10-22 04:54:01, Epoch: [11 / 90], step: [800 / 900], loss: 0.04137448, lr: 0.0009685057
2022-10-22 04:54:33, Epoch: [11 / 90], step: [850 / 900], loss: 0.031158157, lr: 0.0009681661
    background: 99.90, kidney: 94.75 
2022-10-22 04:56:13, Epoch: [12 / 90], step: [0 / 900], loss: 0.026945094, lr: 0.0009678248
2022-10-22 04:56:47, Epoch: [12 / 90], step: [50 / 900], loss: 0.034966704, lr: 0.00096748164
2022-10-22 04:57:19, Epoch: [12 / 90], step: [100 / 900], loss: 0.02616789, lr: 0.0009671368
2022-10-22 04:57:52, Epoch: [12 / 90], step: [150 / 900], loss: 0.03911634, lr: 0.0009667902
2022-10-22 04:58:23, Epoch: [12 / 90], step: [200 / 900], loss: 0.045107488, lr: 0.0009664419
2022-10-22 04:58:56, Epoch: [12 / 90], step: [250 / 900], loss: 0.030570515, lr: 0.00096609176
2022-10-22 04:59:27, Epoch: [12 / 90], step: [300 / 900], loss: 0.04341329, lr: 0.0009657399
2022-10-22 05:00:00, Epoch: [12 / 90], step: [350 / 900], loss: 0.03966694, lr: 0.0009653862
2022-10-22 05:00:32, Epoch: [12 / 90], step: [400 / 900], loss: 0.030851282, lr: 0.00096503086
2022-10-22 05:01:04, Epoch: [12 / 90], step: [450 / 900], loss: 0.038422998, lr: 0.00096467376
2022-10-22 05:01:36, Epoch: [12 / 90], step: [500 / 900], loss: 0.031620063, lr: 0.0009643149
2022-10-22 05:02:09, Epoch: [12 / 90], step: [550 / 900], loss: 0.0315262, lr: 0.0009639543
2022-10-22 05:02:42, Epoch: [12 / 90], step: [600 / 900], loss: 0.03180847, lr: 0.0009635919
2022-10-22 05:03:16, Epoch: [12 / 90], step: [650 / 900], loss: 0.03861802, lr: 0.0009632278
2022-10-22 05:03:49, Epoch: [12 / 90], step: [700 / 900], loss: 0.04045162, lr: 0.000962862
2022-10-22 05:04:21, Epoch: [12 / 90], step: [750 / 900], loss: 0.036867358, lr: 0.0009624944
2022-10-22 05:04:54, Epoch: [12 / 90], step: [800 / 900], loss: 0.036712997, lr: 0.0009621251
2022-10-22 05:05:26, Epoch: [12 / 90], step: [850 / 900], loss: 0.03767057, lr: 0.000961754
    background: 99.90, kidney: 94.70 
2022-10-22 05:07:07, Epoch: [13 / 90], step: [0 / 900], loss: 0.0408026, lr: 0.00096138124
2022-10-22 05:07:38, Epoch: [13 / 90], step: [50 / 900], loss: 0.031920932, lr: 0.0009610067
2022-10-22 05:08:10, Epoch: [13 / 90], step: [100 / 900], loss: 0.038652405, lr: 0.0009606304
2022-10-22 05:08:42, Epoch: [13 / 90], step: [150 / 900], loss: 0.047976978, lr: 0.0009602524
2022-10-22 05:09:13, Epoch: [13 / 90], step: [200 / 900], loss: 0.03120094, lr: 0.0009598727
2022-10-22 05:09:45, Epoch: [13 / 90], step: [250 / 900], loss: 0.03147477, lr: 0.00095949124
2022-10-22 05:10:16, Epoch: [13 / 90], step: [300 / 900], loss: 0.045236733, lr: 0.00095910806
2022-10-22 05:10:48, Epoch: [13 / 90], step: [350 / 900], loss: 0.029359194, lr: 0.00095872313
2022-10-22 05:11:19, Epoch: [13 / 90], step: [400 / 900], loss: 0.025841713, lr: 0.0009583365
2022-10-22 05:11:51, Epoch: [13 / 90], step: [450 / 900], loss: 0.039704416, lr: 0.00095794816
2022-10-22 05:12:22, Epoch: [13 / 90], step: [500 / 900], loss: 0.036693804, lr: 0.00095755805
2022-10-22 05:12:54, Epoch: [13 / 90], step: [550 / 900], loss: 0.03985589, lr: 0.00095716625
2022-10-22 05:13:26, Epoch: [13 / 90], step: [600 / 900], loss: 0.033901062, lr: 0.0009567727
2022-10-22 05:13:57, Epoch: [13 / 90], step: [650 / 900], loss: 0.027374364, lr: 0.0009563775
2022-10-22 05:14:29, Epoch: [13 / 90], step: [700 / 900], loss: 0.0380487, lr: 0.0009559805
2022-10-22 05:15:01, Epoch: [13 / 90], step: [750 / 900], loss: 0.030043608, lr: 0.00095558184
2022-10-22 05:15:34, Epoch: [13 / 90], step: [800 / 900], loss: 0.03604701, lr: 0.0009551815
